meanR,meanG,meanB,stdR,stdG,stdB,meanGray,stdGray,entropy,aboveR,belowR,aboveG,belowG,aboveB,belowB,FFT_avg,FFT_med,FFT_std,FFT_max,FFT_min,DCT,H_avg,H_med,H_std,H_max,H_min,label
113.0261375,101.172975,93.77511875,62.0263306,56.90295998,59.42087356,0.0381,0.19143829,0.233511892,71914,88086,71459,88541,73674,68523,37,-131.9806687,25289.28413,5212404,-1.480768439,23269.66071,3.259056122,3.039828431,0.306794714,6.901960784,0.376470588,2
139.0406375,132.246275,113.7190063,48.13246491,54.10362055,62.50432098,0.03216875,0.176448622,0.205154067,72852,87148,73983,86017,75905,56638,172,-336.6440797,31121.22552,6631458,5.61900943,29604.72321,4.146319778,3.753431373,0.308843503,7.960294118,1.24754902,2
81.76685,78.08435,67.840475,52.7306138,56.66110847,55.89788272,0.0507875,0.219564185,0.289732829,75097,84903,74344,85656,73636,74964,27,193.0645778,20364.73189,3914563,-2.597707613,17475.72768,2.447580907,2.400245098,0.18224141,5.521078431,0.284803922,2
110.5956688,91.403525,75.3671875,61.38393069,50.63310543,50.83612827,0.0334125,0.179711732,0.21122675,72494,87506,71905,88095,73865,48209,26,602.0997325,23029.87482,4782180,-0.381073783,21349.01786,2.990058523,2.97879902,0.31380241,6.55,0.235784314,2
105.0043063,77.59865625,59.50001875,79.67269411,63.12007777,62.24820484,0.0491125,0.216103573,0.282614892,69395,90605,69687,90313,50397,60409,32,-292.8186707,21785.27238,4201323,-0.199732433,18755.90625,2.626877626,2.548039216,0.243456154,7.128431373,0.149509804,2
90.32704375,65.45328125,32.07678125,65.61221841,36.26626773,30.71051234,0.07638125,0.265607973,0.389298146,63131,96869,71086,88914,59477,28138,118,-785.8647471,16489.70009,3466186,7.220535805,15474.04464,2.167233143,1.965441176,0.184792166,5.537745098,0.307352941,2
141.1250563,54.9859625,22.33879375,75.52465586,41.32182988,41.43273862,0.01499375,0.121527897,0.112322976,83501,76499,79795,80205,44525,10385,112,-60.3035939,18768.88459,3863265,2.193445823,17246.71875,2.415506828,2.520098039,0.366098267,7.305392157,0.14754902,2
127.1087438,112.5384813,77.39804375,59.7317257,66.75761781,53.54370118,0.0390625,0.193744305,0.237977151,89136,70864,89285,70715,67684,31858,117,120.0417887,27275.40695,5664014,-4.037937649,25285.77679,3.54142532,3.576348039,0.245572911,7.326470588,0.478431373,2
49.3867375,37.38175625,39.68365,46.48520049,14.4593201,13.66217824,0.0323625,0.176961477,0.20610471,40935,119065,74934,85066,69797,95866,51,-224.2803185,9916.755375,2068978,2.210399701,9236.508929,1.293628701,1.175245098,0.138041901,3.45245098,0.415686275,2
113.26325,78.44480625,39.37363125,61.31831822,44.17317907,43.69462039,0.017025,0.12936481,0.124393932,70285,89715,81310,78690,50489,23263,149,3.292488642,20690.83694,4234871,0.246468279,18905.67411,2.647853516,2.696813725,0.303233075,6.456862745,0.354901961,2
98.68045,79.977225,58.67716875,74.32834649,56.89820858,55.12318128,0.0835,0.276637359,0.41439316,64468,95532,68269,91731,61139,62578,105,-156.5823254,21365.03543,4171184,0.288684361,18621.35714,2.608033213,2.17622549,0.372328697,6.840196078,0.275490196,2
114.9949813,109.1493688,60.26093125,78.80619231,73.33382222,62.68183551,0.05549375,0.228942179,0.309290749,79661,80339,70116,89884,64056,51531,80,-135.0018337,26630.25278,5283815,-0.202791122,23588.45982,3.303705857,3.68995098,0.279171077,7.189705882,0,2
107.1705375,104.90815,79.11428125,42.8024388,52.29716025,52.16632155,0.047575,0.212865926,0.276005026,80049,79951,92309,67691,84848,36852,157,-1029.745185,24431.17769,5149970,4.347497468,22990.9375,3.220019258,3.090441176,0.310386413,7.52254902,0.432352941,2
